# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       3.193089947967e+04       7.149910193135e-07       1.406226562458e+01       2.313568355773e+03       1.417336428956e+04       4.438622355863e-01       4.525824437830e+08       8.076575461595e+00       2.860738005783e+06       8.064139176511e+04       4.321885910861e+01       3.541896786478e-08       4.322063667474e+05       0.000000000000e+00       1.978969553677e+06       5.352598536832e+06       8.853368571544e-02       1.129937459915e-01 
       3.170889300734e+04       7.248938447963e-07       1.415887971242e+01       2.282275185250e+03       1.417326767547e+04       4.469667454315e-01       4.494328015536e+08       8.131773173465e+00       2.782006744946e+06       7.897108122585e+04       4.232367470909e+01       3.541896786478e-08       4.232541545681e+05       0.000000000000e+00       1.924505716792e+06       5.208780021207e+06       8.860351683356e-02       1.130250004164e-01 
       3.148842980240e+04       7.349324518294e-07       1.425613759460e+01       2.251410025819e+03       1.417317041759e+04       4.500929520327e-01       4.463050549422e+08       8.187334658371e+00       2.705442191839e+06       7.733536581540e+04       4.144703118498e+01       3.541896786478e-08       4.144873587687e+05       0.000000000000e+00       1.871540740906e+06       5.068847104360e+06       8.867342265732e-02       1.130569554886e-01 
       3.126949913721e+04       7.451086807350e-07       1.435404335414e+01       2.220966986399e+03       1.417307251183e+04       4.532410067918e-01       4.431990517529e+08       8.243262167625e+00       2.630984719776e+06       7.573352903253e+04       4.058854453540e+01       3.541896786478e-08       4.059021391825e+05       0.000000000000e+00       1.820033378136e+06       4.932694354672e+06       8.874340371173e-02       1.130896140105e-01 
       3.105209035871e+04       7.554243963582e-07       1.445260109736e+01       2.190940257253e+03       1.417297395409e+04       4.564110621638e-01       4.401146408480e+08       8.299557964593e+00       2.558576342934e+06       7.416486921514e+04       3.974783871233e+01       3.541896786478e-08       3.974947351744e+05       0.000000000000e+00       1.769943515691e+06       4.800219210853e+06       8.881346052506e-02       1.131229787906e-01 
       3.083619288788e+04       7.658814883861e-07       1.455181495397e+01       2.161324108874e+03       1.417287474023e+04       4.596032716649e-01       4.370516721403e+08       8.356224324733e+00       2.488160671189e+06       7.262869923289e+04       3.892454545590e+01       3.541896786478e-08       3.892614639944e+05       0.000000000000e+00       1.721232144638e+06       4.671321903599e+06       8.888359362882e-02       1.131570526427e-01 
       3.062179621926e+04       7.764818716703e-07       1.465168907712e+01       2.132112890865e+03       1.417277486611e+04       4.628177898789e-01       4.340099965862e+08       8.413263535637e+00       2.419682866212e+06       7.112434618627e+04       3.811830413307e+01       3.541896786478e-08       3.811987191638e+05       0.000000000000e+00       1.673861329527e+06       4.545905379394e+06       8.895380355780e-02       1.131918383862e-01 
       3.040888992039e+04       7.872274865539e-07       1.475222764356e+01       2.103301030852e+03       1.417267432754e+04       4.660547724653e-01       4.309894661780e+08       8.470677897071e+00       2.353089598765e+06       6.965115111190e+04       3.732876157973e+01       3.541896786478e-08       3.733029688963e+05       0.000000000000e+00       1.627794178850e+06       4.423875226385e+06       8.902409085005e-02       1.132273388460e-01 
       3.019746363135e+04       7.981202992022e-07       1.485343485371e+01       2.074883033402e+03       1.417257312033e+04       4.693143761665e-01       4.279899339370e+08       8.528469721015e+00       2.288329007169e+06       6.820846869388e+04       3.655557194600e+01       3.541896786478e-08       3.655707545506e+05       0.000000000000e+00       1.582994816313e+06       4.305139602298e+06       8.909445604692e-02       1.132635568517e-01 
       2.998750706423e+04       8.091623019378e-07       1.495531493177e+01       2.046853478956e+03       1.417247124025e+04       4.725967588149e-01       4.250112539060e+08       8.586641331703e+00       2.225350656925e+06       6.679566698116e+04       3.579839654470e+01       3.541896786478e-08       3.579986891159e+05       0.000000000000e+00       1.539428352897e+06       4.189609164316e+06       8.916489969307e-02       1.133004952385e-01 
