# Matter power spectrum P(k) at redshift z=0
# for k=2.08005e-07 to 100.006 h/Mpc,
# number of wavenumbers equal to 1835
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.509885296918e-06       7.705956745061e+00 
       1.525077037490e-06       7.780786994022e+00 
       1.540421630059e-06       7.856343938337e+00 
       1.555920612546e-06       7.932634488238e+00 
       1.571575538351e-06       8.009665742301e+00 
       1.587387976499e-06       8.087445149327e+00 
       1.603359511803e-06       8.165979885556e+00 
       1.619491745025e-06       8.245277184981e+00 
       1.635786293027e-06       8.325344896329e+00 
       1.652244788944e-06       8.406189665167e+00 
       1.668868882342e-06       8.487819595545e+00 
       1.685660239381e-06       8.570242212514e+00 
       1.702620542989e-06       8.653465062698e+00 
       1.719751493025e-06       8.737496124442e+00 
       1.737054806452e-06       8.822343314144e+00 
       1.754532217506e-06       8.908014579435e+00 
       1.772185477875e-06       8.994517792688e+00 
       1.790016356869e-06       9.081860311889e+00 
       1.808026641603e-06       9.170051467915e+00 
       1.826218137171e-06       9.259099032275e+00 
       1.844592666829e-06       9.349011307834e+00 
       1.863152072177e-06       9.439796979558e+00 
       1.881898213347e-06       9.531463764687e+00 
       1.900832969185e-06       9.624020896132e+00 
       1.919958237440e-06       9.717476804819e+00 
       1.939275934958e-06       9.811840449664e+00 
       1.958787997869e-06       9.907120025405e+00 
       1.978496381784e-06       1.000332491254e+01 
       1.998403061991e-06       1.010046428073e+01 
       2.018510033651e-06       1.019854679428e+01 
       2.038819312002e-06       1.029758165232e+01 
       2.059332932556e-06       1.039757877610e+01 
       2.080052951307e-06       1.049854604843e+01 
       2.100981444932e-06       1.060049419785e+01 
       2.122120511008e-06       1.070343246380e+01 
       2.143472268212e-06       1.080737023115e+01 
       2.165038856540e-06       1.091231726821e+01 
       2.186822437521e-06       1.101828339999e+01 
       2.208825194430e-06       1.112527857713e+01 
       2.231049332509e-06       1.123331305841e+01 
       2.253497079190e-06       1.134239612136e+01 
       2.276170684315e-06       1.145253866145e+01 
       2.299072420364e-06       1.156375046380e+01 
       2.322204582680e-06       1.167604300830e+01 
       2.345569489701e-06       1.178942502458e+01 
       2.369169483193e-06       1.190390845598e+01 
       2.393006928483e-06       1.201950382662e+01 
       2.417084214697e-06       1.213622153093e+01 
       2.441403755000e-06       1.225407265840e+01 
       2.465967986835e-06       1.237306799048e+01 
       2.490779372170e-06       1.249321923077e+01 
       2.515840397747e-06       1.261453714993e+01 
       2.541153575325e-06       1.273703293023e+01 
       2.566721441936e-06       1.286071822932e+01 
       2.592546560140e-06       1.298560472810e+01 
       2.618631518277e-06       1.311170387238e+01 
       2.644978930733e-06       1.323902762541e+01 
       2.671591438197e-06       1.336758788728e+01 
       2.698471707928e-06       1.349739625972e+01 
       2.725622434021e-06       1.362846547344e+01 
       2.753046337677e-06       1.376080725572e+01 
       2.780746167479e-06       1.389443414071e+01 
       2.808724699662e-06       1.402935873558e+01 
       2.836984738396e-06       1.416559360417e+01 
       2.865529116065e-06       1.430315100956e+01 
       2.894360693551e-06       1.444204517326e+01 
       2.923482360520e-06       1.458228692753e+01 
       2.952897035713e-06       1.472389091930e+01 
       2.982607667239e-06       1.486687012790e+01 
       3.012617232867e-06       1.501123782704e+01 
       3.042928740329e-06       1.515700708798e+01 
       3.073545227619e-06       1.530419215976e+01 
       3.104469763297e-06       1.545280637274e+01 
       3.135705446798e-06       1.560286383176e+01 
       3.167255408742e-06       1.575437845004e+01 
       3.199122811248e-06       1.590736433811e+01 
       3.231310848251e-06       1.606183582258e+01 
       3.263822745820e-06       1.621780732235e+01 
       3.296661762484e-06       1.637529334737e+01 
       3.329831189560e-06       1.653430929453e+01 
       3.363334351478e-06       1.669486875402e+01 
       3.397174606118e-06       1.685698697285e+01 
       3.431355345145e-06       1.702067993086e+01 
       3.465879994348e-06       1.718596239476e+01 
       3.500752013988e-06       1.735285084146e+01 
       3.535974899138e-06       1.752135897599e+01 
       3.571552180039e-06       1.769150316800e+01 
       3.607487422451e-06       1.786330017666e+01 
       3.643784228010e-06       1.803676509708e+01 
       3.680446234591e-06       1.821191447106e+01 
       3.717477116671e-06       1.838876382191e+01 
       3.754880585699e-06       1.856733131133e+01 
       3.792660390465e-06       1.874763369869e+01 
       3.830820317479e-06       1.892968544428e+01 
       3.869364191348e-06       1.911350666011e+01 
       3.908295875161e-06       1.929911078077e+01 
       3.947619270875e-06       1.948651944026e+01 
       3.987338319708e-06       1.967574604815e+01 
       4.027457002531e-06       1.986681092529e+01 
       4.067979340269e-06       2.005973145719e+01 
       4.108909394304e-06       2.025452596753e+01 
       4.150251266882e-06       2.045121134657e+01 
       4.192009101522e-06       2.064980572644e+01 
       4.234187083436e-06       2.085032973344e+01 
       4.276789439944e-06       2.105280070640e+01 
       4.319820440898e-06       2.125723772679e+01 
       4.363284399114e-06       2.146366045433e+01 
       4.407185670799e-06       2.167208681017e+01 
       4.451528655991e-06       2.188253800966e+01 
       4.496317799000e-06       2.209503228949e+01 
       4.541557588851e-06       2.230959022991e+01 
       4.587252559736e-06       2.252623174238e+01 
       4.633407291469e-06       2.274497712617e+01 
       4.680026409941e-06       2.296584608173e+01 
