# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       2.098184857362e+03       1.208341103841e-04       1.687836551362e+02       1.536556196960e+01       1.402316925435e+04       6.680292688456e+00       2.943722455096e+07       9.116515682513e+01       5.342958629621e+01       2.291056549078e+01       1.105202488675e+02       3.525794455262e-08       1.227916836844e+01       0.000000000000e+00       3.696092558355e+01       2.361004946418e+02       1.240497202853e-03       6.713477803860e-01 
       2.083577058308e+03       1.223251663127e-04       1.697399686137e+02       1.518518423087e+01       1.402221294088e+04       6.726646484470e+00       2.923038340326e+07       9.164522705024e+01       5.195781596640e+01       2.243559624180e+01       1.082290038250e+02       3.525794455262e-08       1.202460340013e+01       0.000000000000e+00       3.594280065676e+01       2.305898201254e+02       1.246332199029e-03       6.726718335114e-01 
       2.069070870432e+03       1.238339338112e-04       1.707009078546e+02       1.500700976497e+01       1.402125200163e+04       6.773319793977e+00       2.902498533557e+07       9.212720755746e+01       5.052658293988e+01       2.197047247235e+01       1.059852532387e+02       3.525794455262e-08       1.177531522435e+01       0.000000000000e+00       3.495271817526e+01       2.252103420858e+02       1.252206221776e-03       6.739925412718e-01 
       2.054665587289e+03       1.253606145382e-04       1.716664896940e+02       1.483101055363e+01       1.402028641980e+04       6.820314795600e+00       2.882102031711e+07       9.261110098652e+01       4.913477080673e+01       2.151499012832e+01       1.037880127543e+02       3.525794455262e-08       1.153119447607e+01       0.000000000000e+00       3.398990584138e+01       2.199588740420e+02       1.258119534485e-03       6.753098830420e-01 
       2.040360507343e+03       1.269054123555e-04       1.726367310042e+02       1.465715894763e+01       1.401931617848e+04       6.867633682564e+00       2.861847838671e+07       9.309690994512e+01       4.778129389992e+01       2.106894938411e+01       1.016363184159e+02       3.525794455262e-08       1.129213405656e+01       0.000000000000e+00       3.305361262447e+01       2.148323084162e+02       1.264072402284e-03       6.766238384759e-01 
       2.026154933933e+03       1.284685333510e-04       1.736116486948e+02       1.448542766177e+01       1.401834126079e+04       6.915278662790e+00       2.841734965237e+07       9.358463700879e+01       4.646509644888e+01       2.063215455503e+01       9.952922624339e+01       3.525794455262e-08       1.105802908648e+01       0.000000000000e+00       3.214310817527e+01       2.098276145443e+02       1.270065092048e-03       6.779343875073e-01 
       2.012048175239e+03       1.300501858622e-04       1.745912597128e+02       1.431578976997e+01       1.401736164978e+04       6.963251958992e+00       2.821762429074e+07       9.407428472066e+01       4.518515175626e+01       2.020441401153e+01       9.746581181840e+01       3.525794455262e-08       1.082877685987e+01       0.000000000000e+00       3.125768225653e+01       2.049418367378e+02       1.276097872410e-03       6.792415103498e-01 
       1.998039544250e+03       1.316505805004e-04       1.755755810428e+02       1.414821870043e+01       1.401637732845e+04       7.011555808771e+00       2.801929254669e+07       9.456585559138e+01       4.394046139750e+01       1.978554009513e+01       9.544516987905e+01       3.525794455262e-08       1.060427679912e+01       0.000000000000e+00       3.039664418915e+01       2.001720923952e+02       1.282171013776e-03       6.805451874977e-01 
       1.984128358728e+03       1.332699301745e-04       1.765646297072e+02       1.398268823086e+01       1.401538827978e+04       7.060192464714e+00       2.782234473278e+07       9.505935209885e+01       4.273005444225e+01       1.937534903617e+01       9.346641392309e+01       3.525794455262e-08       1.038443041086e+01       0.000000000000e+00       2.955932231377e+01       1.955155701614e+02       1.288284788334e-03       6.818453997258e-01 
       1.970313941178e+03       1.349084501155e-04       1.775584227663e+02       1.381917248372e+01       1.401439448672e+04       7.109164194491e+00       2.762677122884e+07       9.555477668810e+01       4.155298669741e+01       1.897366087324e+01       9.152867581913e+01       3.525794455262e-08       1.016914124280e+01       0.000000000000e+00       2.874506346694e+01       1.909695281348e+02       1.294439470064e-03       6.831421280901e-01 
